2.2471 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
22.3742 	EXP 	Created thank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating', units='height', win=Window(...), wrapWidth=1)
22.3838 	EXP 	text: autoDraw = True
24.5678 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (17).
25.8184 	EXP 	window1: recordFrameIntervals = False
25.8194 	DATA 	Keypress: space
25.8211 	EXP 	text: autoDraw = False
25.8214 	EXP 	window1: recordFrameIntervals = False
27.0834 	EXP 	response: autoDraw = True
29.0204 	EXP 	window1: recordFrameIntervals = False
29.0213 	DATA 	Keypress: s
29.0231 	EXP 	response: autoDraw = False
29.0232 	EXP 	window1: recordFrameIntervals = False
30.3330 	EXP 	response: autoDraw = True
32.8695 	EXP 	window1: recordFrameIntervals = False
32.8705 	DATA 	Keypress: d
32.8725 	EXP 	response: autoDraw = False
32.8727 	EXP 	window1: recordFrameIntervals = False
34.1826 	EXP 	response: autoDraw = True
36.2854 	EXP 	window1: recordFrameIntervals = False
36.2862 	DATA 	Keypress: d
36.2878 	EXP 	response: autoDraw = False
36.2880 	EXP 	window1: recordFrameIntervals = False
37.5986 	EXP 	response: autoDraw = True
40.0015 	EXP 	window1: recordFrameIntervals = False
40.0024 	DATA 	Keypress: s
40.0040 	EXP 	response: autoDraw = False
40.0042 	EXP 	window1: recordFrameIntervals = False
41.3147 	EXP 	response: autoDraw = True
43.1517 	EXP 	window1: recordFrameIntervals = False
43.1526 	DATA 	Keypress: d
43.1546 	EXP 	response: autoDraw = False
43.1547 	EXP 	window1: recordFrameIntervals = False
44.4648 	EXP 	response: autoDraw = True
46.7844 	EXP 	window1: recordFrameIntervals = False
46.7855 	DATA 	Keypress: d
46.7874 	EXP 	response: autoDraw = False
46.7876 	EXP 	window1: recordFrameIntervals = False
48.0975 	EXP 	response: autoDraw = True
50.5512 	EXP 	window1: recordFrameIntervals = False
50.5523 	DATA 	Keypress: d
50.5539 	EXP 	response: autoDraw = False
50.5540 	EXP 	window1: recordFrameIntervals = False
51.8635 	EXP 	response: autoDraw = True
53.5512 	EXP 	window1: recordFrameIntervals = False
53.5528 	DATA 	Keypress: d
53.5546 	EXP 	response: autoDraw = False
53.5547 	EXP 	window1: recordFrameIntervals = False
54.8632 	EXP 	response: autoDraw = True
56.9004 	EXP 	window1: recordFrameIntervals = False
56.9012 	DATA 	Keypress: d
56.9028 	EXP 	response: autoDraw = False
56.9029 	EXP 	window1: recordFrameIntervals = False
58.1959 	EXP 	response: autoDraw = True
60.9828 	EXP 	window1: recordFrameIntervals = False
60.9836 	DATA 	Keypress: d
60.9854 	EXP 	response: autoDraw = False
60.9855 	EXP 	window1: recordFrameIntervals = False
62.2960 	EXP 	response: autoDraw = True
63.9153 	EXP 	window1: recordFrameIntervals = False
63.9162 	DATA 	Keypress: d
63.9180 	EXP 	response: autoDraw = False
63.9182 	EXP 	window1: recordFrameIntervals = False
65.2133 	DATA 	Keypress: d
65.2286 	EXP 	response: autoDraw = True
67.1824 	EXP 	window1: recordFrameIntervals = False
67.1833 	DATA 	Keypress: d
67.1837 	DATA 	Keypress: d
67.1853 	EXP 	response: autoDraw = False
67.1854 	EXP 	window1: recordFrameIntervals = False
68.4947 	EXP 	response: autoDraw = True
70.2478 	EXP 	window1: recordFrameIntervals = False
70.2489 	DATA 	Keypress: d
70.2506 	EXP 	response: autoDraw = False
70.2508 	EXP 	window1: recordFrameIntervals = False
71.5609 	EXP 	response: autoDraw = True
73.0980 	EXP 	window1: recordFrameIntervals = False
73.0989 	DATA 	Keypress: d
73.1007 	EXP 	response: autoDraw = False
73.1009 	EXP 	window1: recordFrameIntervals = False
74.4110 	EXP 	response: autoDraw = True
75.6317 	EXP 	window1: recordFrameIntervals = False
75.6329 	DATA 	Keypress: d
75.6346 	EXP 	response: autoDraw = False
75.6347 	EXP 	window1: recordFrameIntervals = False
76.9439 	EXP 	response: autoDraw = True
78.4819 	EXP 	window1: recordFrameIntervals = False
78.4829 	DATA 	Keypress: d
78.4845 	EXP 	response: autoDraw = False
78.4846 	EXP 	window1: recordFrameIntervals = False
79.7935 	EXP 	response: autoDraw = True
81.5470 	EXP 	window1: recordFrameIntervals = False
81.5493 	DATA 	Keypress: d
81.5513 	EXP 	response: autoDraw = False
81.5515 	EXP 	window1: recordFrameIntervals = False
82.8595 	EXP 	response: autoDraw = True
84.3296 	EXP 	window1: recordFrameIntervals = False
84.3305 	DATA 	Keypress: d
84.3322 	EXP 	response: autoDraw = False
84.3323 	EXP 	window1: recordFrameIntervals = False
85.6428 	EXP 	response: autoDraw = True
87.1450 	EXP 	window1: recordFrameIntervals = False
87.1462 	DATA 	Keypress: d
87.1481 	EXP 	response: autoDraw = False
87.1483 	EXP 	window1: recordFrameIntervals = False
88.3767 	DATA 	Keypress: d
88.4594 	EXP 	response: autoDraw = True
93.0121 	EXP 	window1: recordFrameIntervals = False
93.0134 	DATA 	Keypress: d
93.0153 	EXP 	response: autoDraw = False
93.0155 	EXP 	window1: recordFrameIntervals = False
94.3246 	EXP 	response: autoDraw = True
96.0619 	EXP 	window1: recordFrameIntervals = False
96.0628 	DATA 	Keypress: d
96.0645 	EXP 	response: autoDraw = False
96.0647 	EXP 	window1: recordFrameIntervals = False
97.3743 	EXP 	response: autoDraw = True
98.7782 	EXP 	window1: recordFrameIntervals = False
98.7794 	DATA 	Keypress: s
98.7810 	EXP 	response: autoDraw = False
98.7811 	EXP 	window1: recordFrameIntervals = False
100.0907 	EXP 	response: autoDraw = True
101.7939 	EXP 	window1: recordFrameIntervals = False
101.7947 	DATA 	Keypress: s
101.7965 	EXP 	response: autoDraw = False
101.7967 	EXP 	window1: recordFrameIntervals = False
103.1070 	EXP 	response: autoDraw = True
104.7605 	EXP 	window1: recordFrameIntervals = False
104.7613 	DATA 	Keypress: s
104.7628 	EXP 	response: autoDraw = False
104.7629 	EXP 	window1: recordFrameIntervals = False
105.9414 	DATA 	Keypress: s
106.0733 	EXP 	response: autoDraw = True
108.5764 	EXP 	window1: recordFrameIntervals = False
108.5771 	DATA 	Keypress: s
108.5790 	EXP 	response: autoDraw = False
108.5793 	EXP 	window1: recordFrameIntervals = False
109.8728 	EXP 	response: autoDraw = True
111.4436 	EXP 	window1: recordFrameIntervals = False
111.4445 	DATA 	Keypress: s
111.4459 	EXP 	response: autoDraw = False
111.4460 	EXP 	window1: recordFrameIntervals = False
112.7562 	EXP 	response: autoDraw = True
115.0912 	DATA 	Keypress: s
116.3143 	EXP 	window1: recordFrameIntervals = False
116.3165 	EXP 	response: autoDraw = False
116.3167 	EXP 	window1: recordFrameIntervals = False
117.3893 	DATA 	Keypress: s
117.6217 	EXP 	response: autoDraw = True
120.9102 	EXP 	window1: recordFrameIntervals = False
120.9110 	DATA 	Keypress: s
120.9128 	EXP 	response: autoDraw = False
120.9130 	EXP 	window1: recordFrameIntervals = False
122.2213 	EXP 	response: autoDraw = True
122.6230 	DATA 	Keypress: s
123.8414 	EXP 	window1: recordFrameIntervals = False
123.8451 	EXP 	response: autoDraw = False
123.8452 	EXP 	window1: recordFrameIntervals = False
125.1540 	EXP 	response: autoDraw = True
126.8907 	EXP 	window1: recordFrameIntervals = False
126.8915 	DATA 	Keypress: s
126.8931 	EXP 	response: autoDraw = False
126.8932 	EXP 	window1: recordFrameIntervals = False
127.6744 	DATA 	Keypress: d
128.2039 	EXP 	response: autoDraw = True
130.1241 	EXP 	window1: recordFrameIntervals = False
130.1251 	DATA 	Keypress: d
130.1268 	EXP 	response: autoDraw = False
130.1269 	EXP 	window1: recordFrameIntervals = False
130.9083 	DATA 	Keypress: d
131.4369 	EXP 	response: autoDraw = True
132.7402 	EXP 	window1: recordFrameIntervals = False
132.7409 	DATA 	Keypress: d
132.7427 	EXP 	response: autoDraw = False
132.7429 	EXP 	window1: recordFrameIntervals = False
134.0530 	EXP 	response: autoDraw = True
135.4912 	EXP 	window1: recordFrameIntervals = False
135.4923 	DATA 	Keypress: d
135.4938 	EXP 	response: autoDraw = False
135.4940 	EXP 	window1: recordFrameIntervals = False
136.8026 	EXP 	response: autoDraw = True
146.1232 	EXP 	window1: recordFrameIntervals = False
146.1239 	DATA 	Keypress: d
146.1255 	EXP 	response: autoDraw = False
146.1256 	EXP 	window1: recordFrameIntervals = False
147.3191 	DATA 	Keypress: d
147.4347 	EXP 	response: autoDraw = True
148.2025 	DATA 	Keypress: escape
148.9262 	EXP 	window1: mouseVisible = True
